name,pos,team,era,ovr,type
Albert Pujols,1B,STL,Efficiency Era (2006-2015),99.9,Bateador
Carl Yastrzemski,LF,BOS,Expansion (1961-1976),99.9,Bateador
George Brett,3B,KCR,Big Hair Era (1977-1993),99.9,Bateador
Hank Aaron,RF,ATL,Expansion (1961-1976),99.9,Bateador
Ken Griffey Jr.,CF,SEA,Steroid Era (1994-2005),99.9,Bateador
Lou Gehrig,1B,NYY,Golden Era (1920-1941),99.9,Bateador
Mickey Mantle,CF,NYY,Integration (1942-1960),99.9,Bateador
Mike Schmidt,3B,PHI,Big Hair Era (1977-1993),99.9,Bateador
Mike Trout,CF,LAA,Efficiency Era (2006-2015),99.9,Bateador
Roberto Clemente,RF,PIT,Expansion (1961-1976),99.9,Bateador
Stan Musial,LF,STL,Integration (1942-1960),99.9,Bateador
Willie Mays,CF,SFG,Expansion (1961-1976),99.9,Bateador
Aaron Judge,RF,NYY,Modern Era (2016-Pres),99.6,Bateador
Mookie Betts,RF,BOS,Modern Era (2016-Pres),99.6,Bateador
Al Kaline,RF,DET,Integration (1942-1960),99.2,Bateador
Johnny Bench,C,CIN,Expansion (1961-1976),97.2,Bateador
Willie McCovey,1B,SFG,Expansion (1961-1976),96.9,Bateador
Jeff Bagwell,1B,HOU,Steroid Era (1994-2005),96.6,Bateador
David Ortiz,DH,BOS,Efficiency Era (2006-2015),96.1,Bateador
Adrian Beltre,3B,TEX,Efficiency Era (2006-2015),96.0,Bateador
Sammy Sosa,RF,CHC,Steroid Era (1994-2005),95.9,Bateador
Clayton Kershaw,SP,LAD,Efficiency Era (2006-2015),95.3,Lanzador
Ichiro Suzuki,RF,SEA,Efficiency Era (2006-2015),94.7,Bateador
Cal Ripken Sr.,SS,BAL,Big Hair Era (1977-1993),94.6,Bateador
Tony Gwynn,RF,SDP,Big Hair Era (1977-1993),94.3,Bateador
Ernie Banks,SS,CHC,Integration (1942-1960),94.2,Bateador
Paul Goldschmidt,1B,ARI,Modern Era (2016-Pres),94.2,Bateador
Willie Stargell,LF,PIT,Expansion (1961-1976),94.1,Bateador
Dave Winfield,RF,SDP,Big Hair Era (1977-1993),94.0,Bateador
Rod Carew,2B,MIN,Expansion (1961-1976),93.9,Bateador
Andre Dawson,CF,WSH,Big Hair Era (1977-1993),93.7,Bateador
Joey Votto,1B,CIN,Efficiency Era (2006-2015),93.7,Bateador
Sandy Koufax,SP,LAD,Expansion (1961-1976),93.6,Lanzador
Miguel Cabrera,3B,DET,Efficiency Era (2006-2015),93.2,Bateador
Kirby Puckett,CF,MIN,Big Hair Era (1977-1993),93.1,Bateador
