playerID,bbrefID,name,pos,sec_pos,era,peak_year,peak_year_display,debut_year,last_year,team,franchise_name,career_pa,career_ab,career_h,career_hr,career_sb,career_bb,career_so,seasons,bats,ba,obp,iso,k_rate,bb_rate,contact_val,power_val,eye_val,k_avoid_val,speed_val,defense_val,con_grade,pow_grade,eye_grade,k_avd_grade,spd_grade,def_grade,avg_attr_score,rarity,is_allstar,is_hof,allstar_selections,gold_gloves,gg_bonus,defense_source,is_clutch,is_captain
brettge01,brettge01,George Brett,3B,1B,Big Hair Era (1977-1993),1979,1980,1973,1993,KCR,KCR,11598.0,10349,3154,317,201.0,1096,908.0,21,L,0.329,0.396,0.219,0.059,0.102,104.9,84.3,56.0,98.2,66.3,87.2,S,A-,C+,A+,B,A,97.6,Legendary,True,True,13,1,2,bbref_war,True,True
schmimi01,schmimi01,Mike Schmidt,3B,1B,Big Hair Era (1977-1993),1977,1974,1972,1989,PHI,PHI,10046.0,8352,2234,548,174.0,1507,1883.0,18,R,0.277,0.393,0.293,0.19,0.157,51.5,125.0,107.6,29.6,59.1,121.4,C,S,S,D,C+,S,97.3,Legendary,True,True,12,10,20,bbref_war,True,True
gwynnto01,gwynnto01,Tony Gwynn,RF,CF,Big Hair Era (1977-1993),1987,1987,1982,2001,SDP,SDP,10187.0,9288,3141,135,319.0,790,434.0,20,L,0.358,0.412,0.13,0.042,0.085,125.0,34.5,40.4,107.1,76.9,97.3,S,D,C-,S,B+,A+,92.9,Legendary,True,True,15,5,10,bbref_war,False,True
henderi01,henderi01,Rickey Henderson,LF,CF,Big Hair Era (1977-1993),1983,1990,1979,2003,OAK,OAK,13316.0,10961,3055,297,1406.0,2190,1694.0,29,R,0.3,0.416,0.157,0.1,0.162,75.5,49.4,112.0,76.9,125.0,91.8,B+,C,S,B+,S,A,92.9,Legendary,True,True,10,1,2,bbref_war,True,False
winfida01,winfida01,Dave Winfield,RF,"CF,LF",Big Hair Era (1977-1993),1979,1979,1973,1995,SDP,SDP,12339.0,11003,3110,465,223.0,1216,1686.0,23,R,0.303,0.371,0.215,0.119,0.099,78.1,84.5,53.3,66.7,63.3,64.6,B+,A-,C,B,B-,B-,91.6,Legendary,True,True,12,7,14,bbref_war,True,True
molitpa01,molitpa01,Paul Molitor,DH,"1B,2B,3B",Big Hair Era (1977-1993),1988,1982,1978,1998,MIL,MIL,12085.0,10835,3319,234,504.0,1094,1244.0,21,R,0.322,0.39,0.157,0.097,0.1,98.2,49.6,54.1,78.4,95.5,57.6,A+,C,C,B+,A+,C+,91.3,Legendary,True,True,7,0,0,bbref_war,True,True
dawsoan01,dawsoan01,Andre Dawson,CF,RF,Big Hair Era (1977-1993),1982,1982,1976,1996,WSH,WSH,10745.0,9927,2774,438,314.0,589,1509.0,21,R,0.301,0.347,0.225,0.124,0.061,76.4,91.0,18.0,64.0,76.0,104.0,B+,A,F,B-,B+,S,91.0,Legendary,True,True,8,8,16,bbref_war,False,True
ripkeca01,ripkeca01,Cal Ripken Jr.,SS,3B,Big Hair Era (1977-1993),1988,1991,1981,2001,BAL,BAL,12873.0,11551,3184,431,36.0,1129,1305.0,21,R,0.29,0.362,0.193,0.1,0.101,65.5,72.4,55.7,76.9,35.0,124.0,B,B,C+,B+,D+,S,90.9,Legendary,True,True,19,2,4,bbref_war,True,True
larkiba01,larkiba01,Barry Larkin,SS,,Big Hair Era (1977-1993),1992,1996,1986,2004,CIN,CIN,8998.0,7937,2340,198,379.0,939,817.0,19,R,0.304,0.38,0.171,0.086,0.104,78.9,57.7,58.2,84.2,111.4,85.7,B+,C+,C+,A-,S,A,90.8,Legendary,True,True,12,3,6,bbref_war,False,True
raineti01,raineti01,Tim Raines,LF,CF,Big Hair Era (1977-1993),1986,1985,1979,2002,WSH,WSH,10320.0,8872,2605,170,808.0,1330,966.0,24,B,0.313,0.402,0.146,0.087,0.128,88.7,42.0,80.6,83.3,125.0,60.4,A,C-,A-,A-,S,B-,90.4,Legendary,True,True,7,0,0,bbref_war,True,False
