playerID,bbrefID,name,pos,sec_pos,era,peak_year,debut_year,last_year,team,franchise_name,career_ab,career_h,career_hr,career_sb,career_bb,career_so,seasons,bats,ba,obp,iso,k_rate,bb_rate,contact_val,power_val,eye_val,speed_val,defense_val,con_grade,pow_grade,eye_grade,spd_grade,def_grade,avg_attr_score,rarity,is_allstar,is_hof,allstar_selections,gold_gloves,gg_bonus,defense_source
schmimi01,schmimi01,Mike Schmidt,3B,1B,Big Hair Era (1977-1993),1980,1972,1989,PHI,Philadelphia Phillies,8352,2234,548,174.0,1507,1883.0,18,R,0.267,0.38,0.26,0.187,0.15,41.8,99.0,99.0,60.6,99.0,D+,S,S,C+,S,79.9,Legendary,True,True,12,10,6,bbref_war
henderi01,henderi01,Rickey Henderson,LF,RF,Big Hair Era (1977-1993),1992,1979,2003,OAK,Oakland Athletics,10961,3055,297,1406.0,2190,1694.0,29,R,0.279,0.401,0.14,0.127,0.164,66.6,51.5,99.0,99.0,73.1,B-,C-,S,S,B,77.8,Legendary,True,True,10,1,2,bbref_war
hernake01,hernake01,Keith Hernandez,1B,,Big Hair Era (1977-1993),1982,1974,1990,SLN,St. Louis Cardinals,7370,2182,162,98.0,1070,1012.0,18,L,0.296,0.384,0.14,0.118,0.125,85.1,52.8,78.7,52.2,99.0,A,C-,B+,C-,S,73.6,Rare,True,False,5,11,6,bbref_war
raineti01,raineti01,Tim Raines,LF,RF,Big Hair Era (1977-1993),1990,1979,2002,MON,Washington Nationals,8872,2605,170,808.0,1330,966.0,24,B,0.294,0.385,0.131,0.094,0.129,88.6,46.8,82.0,99.0,39.2,A,D+,A-,S,D,71.1,Epic,True,True,7,0,0,bbref_war
dykstle01,dykstle01,Lenny Dykstra,CF,RF,Big Hair Era (1977-1993),1990,1985,1996,PHI,Philadelphia Phillies,4559,1298,81,285.0,640,503.0,13,L,0.285,0.375,0.134,0.096,0.122,79.7,49.7,75.4,85.5,64.8,B+,D+,B+,A,C+,71.0,Rare,True,False,3,0,0,bbref_war
brettge01,brettge01,George Brett,3B,1B,Big Hair Era (1977-1993),1983,1973,1993,KCA,Kansas City Royals,10349,3154,317,201.0,1096,908.0,21,L,0.305,0.369,0.183,0.078,0.094,99.0,77.3,50.4,59.1,66.3,S,B+,C-,C,B-,70.4,Epic,True,True,13,1,2,bbref_war
randowi01,randowi01,Willie Randolph,2B,,Big Hair Era (1977-1993),1984,1975,1992,NYA,New York Yankees,8018,2210,54,271.0,1243,675.0,19,R,0.276,0.373,0.076,0.072,0.133,76.7,14.8,85.6,73.9,96.3,B+,F,A,B,S,69.5,Rare,True,False,6,0,0,bbref_war
boggswa01,boggswa01,Wade Boggs,3B,,Big Hair Era (1977-1993),1990,1982,1999,BOS,Boston Red Sox,9180,3010,118,24.0,1412,745.0,18,L,0.328,0.415,0.115,0.07,0.132,99.0,39.3,84.7,26.9,95.1,S,D,A-,D-,S,69.0,Epic,True,True,12,2,4,bbref_war
evansdw01,evansdw01,Dwight Evans,RF,1B,Big Hair Era (1977-1993),1982,1972,1991,BOS,Boston Red Sox,8996,2446,385,78.0,1391,1697.0,20,R,0.272,0.37,0.198,0.161,0.132,52.1,85.0,85.1,42.9,77.6,C-,A,A,D+,B+,68.5,Rare,True,False,3,8,6,bbref_war
whitalo01,whitalo01,Lou Whitaker,2B,,Big Hair Era (1977-1993),1986,1977,1995,DET,Detroit Tigers,8570,2369,244,143.0,1197,1099.0,19,L,0.276,0.363,0.15,0.111,0.121,68.2,57.2,74.9,55.9,85.7,B-,C,B,C,A,68.4,Rare,True,False,5,3,6,bbref_war
murraed02,murraed02,Eddie Murray,1B,,Big Hair Era (1977-1993),1988,1977,1997,BAL,Baltimore Orioles,11336,3255,504,110.0,1333,1516.0,23,B,0.287,0.359,0.189,0.118,0.104,76.7,79.4,59.1,51.6,73.8,B+,B+,C,C-,B,68.1,Epic,True,True,8,3,6,bbref_war
grichbo01,grichbo01,Bobby Grich,2B,SS,Big Hair Era (1977-1993),1978,1970,1986,CAL,Los Angeles Angels of Anaheim,6890,1833,224,104.0,1087,1278.0,17,R,0.266,0.371,0.158,0.158,0.134,47.5,61.5,86.7,47.5,88.0,D+,C+,A,D+,A,66.2,Rare,True,False,6,4,6,bbref_war
sandbry01,sandbry01,Ryne Sandberg,2B,3B,Big Hair Era (1977-1993),1988,1981,1997,CHN,Chicago Cubs,8385,2386,282,344.0,761,1260.0,16,R,0.285,0.344,0.167,0.136,0.082,70.0,66.9,39.1,76.8,78.0,B,B-,D,B+,B+,66.2,Epic,True,True,10,9,6,bbref_war
cruzjo01,cruzjo01,Jose Cruz,LF,RF,Big Hair Era (1977-1993),1979,1970,1988,HOU,Houston Astros,7917,2251,165,317.0,898,1031.0,19,L,0.284,0.354,0.136,0.116,0.101,74.6,49.3,56.2,73.0,76.9,B,D+,C,B,B+,66.0,Rare,True,False,2,0,0,bbref_war
