playerID,name,pos
brettge01,George Brett,3B
schmimi01,Mike Schmidt,3B
gwynnto01,Tony Gwynn,RF
henderi01,Rickey Henderson,LF
boggswa01,Wade Boggs,3B
dawsoan01,Andre Dawson,CF
winfida01,Dave Winfield,RF
molitpa01,Paul Molitor,DH
larkiba01,Barry Larkin,SS
raineti01,Tim Raines,LF
ripkeca01,Cal Ripken Jr.,SS
mattido01,Don Mattingly,1B
puckeki01,Kirby Puckett,CF
lynnfr01,Fred Lynn,CF
trammal01,Alan Trammell,SS
yountro01,Robin Yount,SS
murphda05,Dale Murphy,CF
evansdw01,Dwight Evans,RF
cartega01,Gary Carter,C
clarkwi02,Will Clark,1B
daviser01,Eric Davis,CF
sandbry01,Ryne Sandberg,2B
fostege01,George Foster,LF
murraed02,Eddie Murray,1B
parkeda01,Dave Parker,RF
hernake01,Keith Hernandez,1B
mcgrifr01,Fred McGriff,1B
riceji01,Jim Rice,LF
madlobi01,Bill Madlock,3B
guerrpe01,Pedro Guerrero,3B
coopece01,Cecil Cooper,1B
hrbekke01,Kent Hrbek,1B
bellbu01,Buddy Bell,3B
garvest01,Steve Garvey,1B
gibsoki01,Kirk Gibson,RF
fiskca01,Carlton Fisk,C
galaran01,Andres Galarraga,1B
smithoz01,Ozzie Smith,SS
whitalo01,Lou Whitaker,2B
dykstle01,Lenny Dykstra,CF
clarkja01,Jack Clark,RF
strawda01,Darryl Strawberry,RF
bakerdu01,Dusty Baker,LF
cansejo01,Jose Canseco,RF
francju01,Julio Franco,2B
cruzjo01,Jose Cruz Sr.,LF
mitchke01,Kevin Mitchell,LF
singlke01,Ken Singleton,RF
evansda01,Darrell Evans,3B
gaettga01,Gary Gaetti,3B
randowi01,Willie Randolph,2B
simmote01,Ted Simmons,C
greenmi01,Mike Greenwell,LF
butlebr01,Brett Butler,CF
vanslan01,Andy Van Slyke,CF
maddoga01,Garry Maddox,CF
lemonch01,Chet Lemon,CF
thornan01,Andre Thornton,1B
baineha01,Harold Baines,DH
joynewa01,Wally Joyner,1B
davisch01,Chili Davis,DH
oliveal01,Al Oliver,CF
griffke01,Ken Griffey Sr.,RF
mcraeha01,Hal McRae,DH
bonilbo01,Bobby Bonilla,3B
smithlo01,Lonnie Smith,LF
matthga01,Gary Matthews,LF
harrato01,Toby Harrah,3B
johnsla03,Lance Johnson,CF
decindo01,Doug DeCinces,3B
oglivbe01,Ben Oglivie,LF
luzingr01,Greg Luzinski,LF
gamblos01,Oscar Gamble,DH
barfije01,Jesse Barfield,RF
fernato01,Tony Fernandez,SS
downibr01,Brian Downing,LF
krukjo01,John Kruk,1B
lansfca01,Carney Lansford,3B
wilsowi02,Willie Wilson,CF
macksh01,Shane Mack,LF
bellge02,George Bell,LF
mcreyke01,Kevin McReynolds,LF
hayesvo01,Von Hayes,1B
pendlte01,Terry Pendleton,3B
conceda01,Dave Concepcion,SS
danieka01,Kal Daniels,LF
whitede03,Devon White,CF
davisal01,Alvin Davis,1B
bucknbi01,Bill Buckner,1B
wallati01,Tim Wallach,3B
daultda01,Darren Daulton,C
sierrru01,Ruben Sierra,RF
hargrmi01,Mike Hargrove,1B
jeffegr01,Gregg Jefferies,2B
lezcasi01,Sixto Lezcano,RF
durhale01,Leon Durham,1B
hendrge01,George Hendrick,CF
baergca01,Carlos Baerga,2B
eisenji01,Jim Eisenreich,RF
mcbriba01,Bake McBride,RF
mosebll01,Lloyd Moseby,CF
hornebo01,Bob Horner,3B
phelpke01,Ken Phelps,DH
porteda02,Darrell Porter,C
tartada01,Danny Tartabull,RF
parrila02,Lance Parrish,C
whitefr01,Frank White,2B
cartejo01,Joe Carter,RF
davisgl01,Glenn Davis,1B
obriepe03,Pete O'Brien,1B
johnsho01,Howard Johnson,3B
phillto02,Tony Phillips,2B
wardga01,Gary Ward,LF
johnscl01,Cliff Johnson,DH
thompja01,Jason Thompson,1B
lacyle01,Lee Lacy,RF
roberbi01,Bip Roberts,LF
rivermi01,Mickey Rivers,CF
mumphje01,Jerry Mumphrey,CF
fieldce01,Cecil Fielder,1B
kempst01,Steve Kemp,LF
mullira01,Rance Mulliniks,3B
puhlte01,Terry Puhl,RF
valenel01,Ellis Valentine,RF
caldeiv01,Ivan Calderon,LF
driesda01,Dan Driessen,1B
martida01,Dave Martinez,CF
mcgeewi01,Willie McGee,CF
cowenal01,Al Cowens,RF
dwyerji01,Jim Dwyer,RF
seitzke01,Kevin Seitzer,3B
basske01,Kevin Bass,RF
lowenjo01,John Lowenstein,LF
wallide01,Denny Walling,3B
murphdw01,Dwayne Murphy,CF
santibe01,Benito Santiago,C
tettlmi01,Mickey Tettleton,C
bochtbr01,Bruce Bochte,1B
bumbral01,Al Bumbry,CF
pacioto01,Tom Paciorek,LF
carrema01,Mark Carreon,1B
saboch01,Chris Sabo,3B
breamsi01,Sid Bream,1B
