playerID,full_name,role,era_label,ovr_3y,rarity_3y,str_val_3y,ctl_val_3y,grt_val_3y,mov_val_3y,sta_val_3y,ovr_7y,rarity_7y,str_val_7y,ctl_val_7y,grt_val_7y,mov_val_7y,sta_val_7y,ovr_diff,str_diff,ctl_diff,grt_diff,mov_diff,sta_diff
aardsda01,David Aardsma,RP,Efficiency Era (2006-2015),61.4,Uncommon,66.6,23.7,83.8,42.5,29.0,58.5,Common,64.9,25.0,73.6,30.5,22.3,2.8999999999999986,1.6999999999999886,-1.3000000000000007,10.200000000000003,12.0,6.699999999999999
aasedo01,Don Aase,RP,Big Hair Era (1977-1993),64.4,Uncommon,57.5,45.8,61.8,61.6,31.0,59.6,Common,36.9,48.4,35.3,60.1,54.7,4.800000000000004,20.6,-2.6000000000000014,26.5,1.5,-23.700000000000003
abadfe01,Fernando Abad,RP,Efficiency Era (2006-2015),61.7,Uncommon,47.6,50.7,71.4,55.3,21.9,60.2,Uncommon,52.0,61.0,67.3,38.1,22.6,1.5,-4.399999999999999,-10.299999999999997,4.1000000000000085,17.199999999999996,-0.7000000000000028
abbotan01,Andrew Abbott,SP,Modern Era (2016-Pres),59.3,Common,59.8,54.1,41.2,12.3,63.2,62.5,Uncommon,55.0,58.1,49.7,27.3,59.9,-3.200000000000003,4.799999999999997,-4.0,-8.5,-15.0,3.3000000000000043
abbotgl01,Glenn Abbott,SP,Big Hair Era (1977-1993),56.1,Common,12.6,88.9,6.4,14.8,53.9,56.5,Common,7.0,85.0,21.4,10.4,60.0,-0.3999999999999986,5.6,3.9000000000000057,-14.999999999999998,4.4,-6.100000000000001
abbotji01,Jim Abbott,SP,Big Hair Era (1977-1993),74.6,Rare,46.3,62.6,34.8,80.2,79.3,64.6,Uncommon,34.4,62.3,25.7,56.4,79.7,10.0,11.899999999999999,0.30000000000000426,9.099999999999998,23.800000000000004,-0.4000000000000057
abbotpa01,Paul Abbott,SP,Steroid Era (1994-2005),58.9,Common,46.5,21.7,67.5,24.8,63.3,58.4,Common,51.2,21.5,72.4,31.3,39.0,0.5,-4.700000000000003,0.1999999999999993,-4.900000000000006,-6.5,24.299999999999997
abernte02,Ted Abernathy,RP,Expansion (1961-1976),78.4,Rare,55.8,38.4,85.1,84.9,58.3,75.5,Rare,55.6,26.1,91.8,87.2,47.1,2.9000000000000057,0.19999999999999574,12.299999999999997,-6.700000000000003,-2.299999999999997,11.199999999999996
abreubr01,Bryan Abreu,RP,Modern Era (2016-Pres),76.3,Rare,95.5,33.9,84.5,60.9,36.9,76.5,Rare,93.5,32.1,89.1,73.5,24.4,-0.20000000000000284,2.0,1.7999999999999972,-4.599999999999994,-12.600000000000001,12.5
accarje01,Jeremy Accardo,RP,Efficiency Era (2006-2015),59.0,Common,39.6,42.3,58.0,62.1,23.1,57.9,Common,40.4,48.5,35.3,59.8,22.8,1.1000000000000014,-0.7999999999999972,-6.200000000000003,22.700000000000003,2.3000000000000043,0.3000000000000007
