playerID,bbrefID,name,era,peak_year,peak_year_display,debut_year,last_year,team,franchise_name,role,career_g,career_gs,career_sv,career_ip,career_w,career_l,career_so,career_bb,career_hr,peak_war,peak_h9,peak_k9,peak_bb9,peak_hr9,peak_era,peak_era_plus,h9_val,k9_val,bb9_val,hr9_val,sta_val,stf_val,str_val,ctl_val,mov_val,grt_val,h9_grade,k9_grade,bb9_grade,hr9_grade,sta_grade,ovr,rarity,is_allstar,is_hof,allstar_selections,defense_source
clemero02,clemero02,Roger Clemens,Big Hair Era (1977-1993),1991,1997,1984,2007,BOS,BOS,SP,709,707,0,4916.666666666667,354,184,4672,1580,363.0,65.39,7.15,8.67,2.46,0.47,2.46,181.23,99.1,111.2,81.9,92.2,98.3,111.2,111.2,81.9,92.2,99.1,A+,S,A-,A,A+,99.9,Legendary,True,False,11,none
carltst01,carltst01,Steve Carlton,Big Hair Era (1977-1993),1980,1972,1965,1988,PHI,PHI,SP,741,709,2,5217.333333333333,329,244,4136,1833,414.0,51.59,7.41,8.09,2.74,0.55,2.53,149.59,90.5,100.2,72.1,82.5,103.2,100.2,100.2,72.1,82.5,90.5,A,S,B,A-,S,96.4,Legendary,True,True,10,none
ryanno01,ryanno01,Nolan Ryan,Big Hair Era (1977-1993),1977,1977,1966,1993,LAA,LAA,SP,807,773,3,5386.0,324,292,5714,2795,321.0,43.24,5.99,10.58,4.74,0.51,2.8,130.9,125.0,125.0,5.0,87.7,100.9,125.0,125.0,5.0,87.7,125.0,S,S,F,A,S,95.9,Legendary,True,True,8,none
goodedw01,goodedw01,Dwight Gooden,Big Hair Era (1977-1993),1987,1985,1984,2000,NYM,NYM,SP,430,410,3,2800.6666666666665,194,112,2293,954,210.0,35.89,7.63,7.82,2.57,0.48,2.85,132.76,81.9,93.7,77.7,90.0,91.9,93.7,93.7,77.7,90.0,81.9,A-,A,B+,A,A,95.0,Legendary,True,False,4,none
richajr01,richaj.01,J. R. Richard,Big Hair Era (1977-1993),1977,1979,1971,1980,HOU,HOU,SP,238,221,0,1606.0,107,71,1493,770,73.0,21.59,6.68,8.37,3.98,0.42,2.92,117.1,113.6,103.6,29.3,97.1,84.0,103.6,103.6,29.3,97.1,113.6,S,S,D,A+,A-,94.1,Legendary,True,False,1,none
eckerde01_rp,eckerde01,Dennis Eckersley,Big Hair Era (1977-1993),1990,1990,1975,1998,HIST,HIST,RP,1071,361,390,3285.6666666666665,197,171,2401,738,347.0,16.15,6.85,9.48,1.13,0.76,2.42,223.66,98.7,112.4,115.2,50.8,38.7,112.4,112.4,115.2,50.8,98.7,A+,S,S,C,D+,92.8,Legendary,True,True,6,none
gossari01,gossari01,Rich Gossage,Big Hair Era (1977-1993),1980,1975,1972,1994,NYY,NYY,RP,1002,37,310,1809.3333333333333,124,107,1502,732,119.0,31.17,6.42,8.8,3.34,0.43,1.98,193.65,116.2,106.0,51.4,89.8,51.8,106.0,106.0,51.4,89.8,116.2,S,S,C,A,C,92.8,Legendary,True,True,9,none
fernasi01,fernasi01,Sid Fernandez,Big Hair Era (1977-1993),1989,1992,1983,1997,NYM,NYM,SP,307,300,1,1866.6666666666667,114,96,1743,715,191.0,24.17,6.44,8.49,3.38,0.76,3.04,117.57,121.2,105.5,49.8,53.3,80.8,105.5,105.5,49.8,53.3,121.2,S,S,C,C,A-,92.3,Legendary,True,False,2,none
rijojo01,rijojo01,Jose Rijo,Big Hair Era (1977-1993),1991,1993,1984,2002,CIN,CIN,SP,376,269,3,1880.0,116,91,1606,663,147.0,35.62,7.64,7.8,2.75,0.55,2.63,145.7,80.9,92.2,71.1,79.7,81.6,92.2,92.2,71.1,79.7,80.9,A-,A,B,B+,A-,91.7,Legendary,True,False,1,none
henketo01,henketo01,Tom Henke,Big Hair Era (1977-1993),1990,1989,1982,1995,TOR,TOR,RP,642,0,311,789.6666666666666,41,42,861,255,64.0,17.5,6.46,10.52,2.68,0.72,2.47,178.07,109.5,125.0,70.8,55.6,37.7,125.0,125.0,70.8,55.6,109.5,S,S,B,C+,D+,90.9,Legendary,True,False,2,none
bluevi01,bluevi01,Vida Blue,Big Hair Era (1977-1993),1977,1971,1969,1986,OAK,OAK,SP,502,473,2,3343.3333333333335,209,161,2175,1185,263.0,38.34,7.79,5.96,2.64,0.53,2.74,133.39,76.9,57.2,75.5,84.1,98.1,57.2,57.2,75.5,84.1,76.9,B+,C+,B+,A-,A+,90.2,Legendary,True,False,6,none
sotoma01,sotoma01,Mario Soto,Big Hair Era (1977-1993),1982,1982,1977,1988,CIN,CIN,SP,297,224,4,1730.3333333333333,100,92,1449,657,172.0,28.0,6.82,8.06,3.29,0.82,3.14,122.24,109.2,97.7,52.8,46.7,85.3,97.7,97.7,52.8,46.7,109.2,S,A+,C,C,A,90.2,Legendary,True,False,3,none
suttebr01,suttebr01,Bruce Sutter,Big Hair Era (1977-1993),1979,1977,1976,1988,CHC,CHC,RP,661,0,300,1042.0,68,71,861,309,77.0,24.55,7.01,8.1,2.53,0.53,2.27,185.27,96.9,92.8,76.4,78.1,47.9,92.8,92.8,76.4,78.1,96.9,A+,A,B+,B+,C,90.2,Legendary,True,True,6,none
