playerID,career_w,career_l,career_g,career_gs,career_cg,career_sho,career_sv,career_ipouts,career_h,career_er,career_hr_a,career_bb,career_so,seasons,debut_year,last_year,career_ip,peak_ip,peak_gs,peak_g,peak_sv,peak_so,peak_bb,peak_hr_a,peak_er,peak_h,peak_w,peak_l,peak_war,peak_year,peak_year_display,mean_sp_dedication,total_seasons_in_peak,career_war,role,nameFirst,nameLast,bbrefID,full_name,era_label,norm_era,h9_raw,k9_raw,bb9_raw,hr9_raw,ip_per_year_raw,h9_val,k9_val,bb9_val,hr9_val,sta_val,raw_ovr,ovr,rarity,str_val,ctl_val,mov_val,grt_val
aardsda01,16,18,331,0,0,0,69,1011,296,160,41.0,183,340,9,2004,2015,337.0,174.0,0,171,69,178,87,18.0,63,123,6,12,2.98,2010,2009,0.0,3,1.84,RP,David,Aardsma,aardsda01,David Aardsma,Efficiency Era (2006-2015),Efficiency Era (2006-2015),7.505347593582888,7.224598930481283,3.804812834224599,0.9144385026737968,58.0,83.8,66.6,23.7,42.5,29.0,49.120000000000005,61.4,Uncommon,66.6,23.7,42.5,83.8
aasedo01,66,60,448,91,22,5,82,3328,1085,468,89.0,457,641,13,1977,1990,1109.3333333333333,186.0,0,128,53,133,71,11.0,51,157,14,12,6.57,1980,1986,0.0,3,15.09,RP,Don,Aase,aasedo01,Don Aase,Big Hair Era (1977-1993),Big Hair Era (1977-1993),8.064766839378239,5.95077720207254,3.3134715025906734,0.7227979274611398,62.0,61.8,57.5,45.8,61.6,31.0,51.54,64.4,Uncommon,57.5,45.8,61.6,61.8
abadfe01,9,29,406,6,0,0,2,1064,343,149,45.0,126,292,11,2010,2023,354.6666666666667,104.0,0,126,1,92,37,8.0,29,74,3,10,3.37,2015,2014,0.0,3,4.05,RP,Fernando,Abad,abadfe01,Fernando Abad,Efficiency Era (2006-2015),Efficiency Era (2006-2015),7.782894736842105,6.342105263157896,3.200657894736842,0.8289473684210525,34.666666666666664,71.4,47.6,50.7,55.3,21.9,49.38000000000001,61.7,Uncommon,47.6,50.7,55.3,71.4
abbotan01,28,23,75,75,1,1,0,1241,375,157,60.0,139,383,3,2023,2025,413.6666666666667,413.6666666666667,75,75,0,383,139,60.0,157,375,28,23,11.71,2024,2025,1.0,3,11.71,SP,Andrew,Abbott,abbotan01,Andrew Abbott,Modern Era (2016-Pres),Modern Era (2016-Pres),8.26996197718631,7.409560021727321,3.081477457903313,1.173275393807713,137.88888888888889,41.2,59.8,54.1,12.3,63.2,46.120000000000005,59.3,Common,59.8,54.1,12.3,41.2
abbotgl01,62,83,248,206,37,5,0,3858,1405,627,162.0,352,484,11,1973,1984,1286.0,344.0,52,52,0,127,71,41.0,150,374,19,16,6.92,1980,1983,1.0,3,7.57,SP,Glenn,Abbott,abbotgl01,Glenn Abbott,Big Hair Era (1977-1993),Big Hair Era (1977-1993),9.3125,4.123161764705882,2.3511029411764706,1.0091911764705883,114.66666666666667,6.4,12.6,88.9,14.8,53.9,35.32000000000001,56.1,Common,12.6,88.9,14.8,6.4
abbotji01,87,108,263,254,31,6,0,5022,1779,791,154.0,620,888,10,1989,1999,1674.0,538.6666666666666,76,76,0,329,170,30.0,182,523,30,30,17.15,1993,1991,1.0,3,23.560000000000002,SP,Jim,Abbott,abbotji01,Jim Abbott,Big Hair Era (1977-1993),Big Hair Era (1977-1993),8.673736462093864,5.49774368231047,2.937725631768953,0.6092057761732852,179.55555555555554,34.8,46.3,62.6,80.2,79.3,60.64,74.6,Rare,46.3,62.6,80.2,34.8
abbotpa01,43,37,162,112,1,0,0,2162,682,394,101.0,393,496,11,1990,2004,720.6666666666666,414.6666666666667,61,88,0,286,199,53.0,186,359,32,13,6.29,1999,1999,0.671904761904762,3,3.45,SP,Paul,Abbott,abbotpa01,Paul Abbott,Steroid Era (1994-2005),Steroid Era (1994-2005),8.02223427331887,5.977223427331887,3.954989154013014,1.068872017353579,138.22222222222223,67.5,46.5,21.7,24.8,63.3,44.760000000000005,58.9,Common,46.5,21.7,24.8,67.5
abernte02,63,69,681,34,7,2,148,3443,1010,441,70.0,592,765,14,1955,1972,1147.6666666666667,377.3333333333333,0,232,72,256,152,17.0,91,287,20,16,12.19,1970,1967,0.0,3,20.18,RP,Ted,Abernathy,abernte02,Ted Abernathy,Expansion (1961-1976),Expansion (1961-1976),7.418591224018477,5.896073903002311,3.478060046189377,0.5767898383371826,125.77777777777777,85.1,55.8,38.4,84.9,58.3,64.5,78.4,Rare,55.8,38.4,84.9,85.1
abreubr01,16,12,317,0,0,0,16,989,239,97,25.0,148,448,7,2019,2025,329.6666666666667,221.33333333333331,0,220,13,308,94,19.0,59,154,9,9,6.78,2022,2025,0.0,3,7.42,RP,Bryan,Abreu,abreubr01,Bryan Abreu,Modern Era (2016-Pres),Modern Era (2016-Pres),7.3243670886075956,9.189873417721518,3.526898734177215,0.8330696202531647,73.77777777777777,84.5,95.5,33.9,60.9,36.9,62.34,76.3,Rare,95.5,33.9,60.9,84.5
accarje01,10,20,262,0,0,0,38,854,288,136,24.0,111,205,8,2005,2012,284.6666666666667,121.66666666666666,0,118,31,91,50,8.0,36,100,5,9,3.16,2010,2007,0.0,3,1.73,RP,Jeremy,Accardo,accarje01,Jeremy Accardo,Efficiency Era (2006-2015),Efficiency Era (2006-2015),8.082901554404147,5.9658031088082915,3.3886010362694305,0.7834196891191711,40.55555555555555,58.0,39.6,42.3,62.1,23.1,45.02,59.0,Common,39.6,42.3,62.1,58.0
